"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
"605921","EQT OPPORTUNITY (NO. 1) LIMITED PARTNERSHIP","805-3692252155","EQT OPPORTUNITY (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT OPPORTUNITY LIMITED)","-","N"
"605921","EQT OPPORTUNITY (NO. 2) LIMITED PARTNERSHIP","805-8866079248","EQT OPPORTUNITY (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT OPPORTUNITY LIMITED)","-","N"
"605921","EQT IV (NO.1) LIMITED PARTNERSHIP","805-7405430916","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT IV (NO.2) LIMITED PARTNERSHIP","805-5992208299","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT IV ISS CO-INVESTMENT LIMITED PARTNERSHIP","805-2082749091","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT SSP CO-INVESTMENT LIMITED PARTNERSHIP","805-3128136639","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT SSP CO-INVESTMENT II LIMITED PARTNERSHIP","805-3669676392","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT SSP CO-INVESTMENT IV LIMITED PARTNERSHIP","805-8971255909","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"605921","EQT IV GMBH & CO. KG","805-4092539730","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"607899","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"607899","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"607899","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"607899","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"607899","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"607899","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608454","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608454","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608454","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608454","EQT GREATER CHINA II LIMITED PARTNERSHIP","805-8724761037","EQT GC II GP LP (ACTING THROUGH ITS GENERAL PARTNER EQT GREATER CHINA II LIMITED)","-","N"
"608023","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608023","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608023","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"608023","EQT INFRASTRUCTURE (NO.2) LIMITED PARTNERSHIP","805-3174792308","EQT INFRASTRUCTURE (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT INFRASTRUCTURE LIMITED)","-","N"
"608023","EQT III UK NO.1 LIMITED PARTNERSHIP","805-3277306983","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III UK NO. 2 LIMITED PARTNERSHIP","805-4825002727","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III UK NO. 6 LIMITED PARTNERSHIP","805-2992472036","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III UK NO. 7 LIMITED PARTNERSHIP","805-6735444070","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III US NO. 1 LIMITED PARTNERSHIP","805-8313990642","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III US NO. 2 LIMITED PARTNERSHIP","805-9567172313","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT III US NO. 3 LIMITED PARTNERSHIP","805-7213990041","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"608023","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"608023","EQT EXPANSION CAPITAL I LIMITED PARTNERSHIP","805-2713687346","EQT EXPANSION CAPITAL I (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL I LIMITED)","-","N"
"608023","EQT EXPANSION CAPITAL II (NO.1) LIMITED PARTNERSHIP","805-1068121850","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
"608023","EQT EXPANSION CAPITAL II (NO.2) LIMITED PARTNERSHIP","805-1675524249","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
"608023","EQT OPPORTUNITY (NO. 1) LIMITED PARTNERSHIP","805-3692252155","EQT OPPORTUNITY (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT OPPORTUNITY LIMITED)","-","N"
"608023","EQT OPPORTUNITY (NO. 2) LIMITED PARTNERSHIP","805-8866079248","EQT OPPORTUNITY (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT OPPORTUNITY LIMITED)","-","N"
"608023","EQT IV (NO.1) LIMITED PARTNERSHIP","805-7405430916","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT IV (NO.2) LIMITED PARTNERSHIP","805-5992208299","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT IV ISS CO-INVESTMENT LIMITED PARTNERSHIP","805-2082749091","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT SSP CO-INVESTMENT LIMITED PARTNERSHIP","805-3128136639","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT SSP CO-INVESTMENT II LIMITED PARTNERSHIP","805-3669676392","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT SSP CO-INVESTMENT IV LIMITED PARTNERSHIP","805-8971255909","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608023","EQT IV GMBH & CO. KG","805-4092539730","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606393","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP  (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606393","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606393","EQT III UK NO.1 LIMITED PARTNERSHIP","805-3277306983","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III UK NO.2 LIMITED PARTNERSHIP","805-4825002727","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III UK NO.6 LIMITED PARTNERSHIP","805-2992472036","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III UK NO.7 LIMITED PARTNERSHIP","805-6735444070","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III US NO.1 LIMITED PARTNERSHIP","805-8313990642","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III US NO.2 LIMITED PARTNERSHIP","805-9567172313","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT III US NO.3 LIMITED PARTNERSHIP","805-7213990041","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606393","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606393","EQT EXPANSION CAPITAL I LIMITED PARTNERSHIP","805-2713687346","EQT EXPANSION CAPITAL I (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL I LIMITED)","-","N"
"606393","EQT EXPANSION CAPITAL II (NO.1) LIMITED PARTNERSHIP","805-1068121850","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
"606393","EQT EXPANSION CAPITAL II (NO.2) LIMITED PARTNERSHIP","805-1675524249","EQT EXPANSION CAPITAL II (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT EXPANSION CAPITAL II LIMITED)","-","N"
"606393","EQT IV (NO.1) LIMITED PARTNERSHIP","805-7405430916","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT IV (NO.2) LIMITED PARTNERSHIP","805-5992208299","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT IV ISS CO-INVESTMENT LIMITED PARTNERSHIP","805-2082749091","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT SSP CO-INVESTMENT LIMITED PARTNERSHIP","805-3128136639","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT SSP CO-INVESTMENT II LIMITED PARTNERSHIP","805-3669676392","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT SSP CO-INVESTMENT IV LIMITED PARTNERSHIP","805-8971255909","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"606393","EQT IV GMBH & CO. KG","805-4092539730","EQT IV (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT IV LIMITED)","-","N"
"608712","EQT GREATER CHINA II LIMITED PARTNERSHIP","805-8724761037","EQT GC II GP LP (ACTING THROUGH ITS GENERAL PARTNER EQT GREATER CHINA II LIMITED)","-","N"
"606885","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606885","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606885","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606885","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606885","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606885","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606885","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606885","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606885","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606850","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606850","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606850","EQT INFRASTRUCTURE (NO.2) LIMITED PARTNERSHIP","805-3174792308","EQT INFRASTRUCTURE (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT INFRASTRUCTURE LIMITED)","-","N"
"606850","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606850","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT VI (NO.1) LIMITED PARTNERSHIP","805-7254159782","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606148","EQT VI (NO.2) LIMITED PARTNERSHIP","805-4420470903","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606148","EQT VI EXECUTIVE CO-INVESTMENT LIMITED PARTNERSHIP","805-2876598364","EQT VI (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT VI LIMITED)","-","N"
"606148","EQT INFRASTRUCTURE (NO.2) LIMITED PARTNERSHIP","805-3174792308","EQT INFRASTRUCTURE (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT INFRASTRUCTURE LIMITED)","-","N"
"606148","EQT III UK NO.1 LIMITED PARTNERSHIP","805-3277306983","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III UK NO. 2 LIMITED PARTNERSHIP","805-4825002727","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III UK NO. 6 LIMITED PARTNERSHIP","805-2992472036","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III UK NO. 7 LIMITED PARTNERSHIP","805-6735444070","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III US NO. 1 LIMITED PARTNERSHIP","805-8313990642","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III US NO. 2 LIMITED PARTNERSHIP","805-9567172313","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT III US NO. 3 LIMITED PARTNERSHIP","805-7213990041","EQT III (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT III LIMITED)","-","N"
"606148","EQT V (NO.1) LIMITED PARTNERSHIP","805-5940460051","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT KNIGHTRIDER CO-INVESTMENT LIMITED PARTNERSHIP","805-7755651810","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT V (NO.2) LIMITED PARTNERSHIP","805-1913833354","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT DOMETIC CO-INVESTMENT LIMITED PARTNERSHIP","805-2178497581","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT SCANDIC CO-INVESTMENT LIMITED PARTNERSHIP","805-3140128638","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
"606148","EQT SCANDIC II CO-INVESTMENT LIMITED PARTNERSHIP","805-9202550961","EQT V (GENERAL PARTNER) LP (ACTING THROUGH ITS GENERAL PARTNER EQT V LIMITED)","-","N"
