"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number"
1029926,"HERENGRACHT 500","","AMSTERDAM","","Netherlands","1017 CB","N","31 20 737 2318",""
1032402,"25 GREAT PULTENEY STREET","","LONDON","","United Kingdom","W1F 9LT","N","00442071542020","00442071542021"
1027669,"46 BILTMORE AVE","","RYE","NY","United States","10580","Y","914-263-9794",""
1034462,"655 REDWOOD HIGHWAY","SUITE 368","MILL VALLEY","CA","United States","94941","N","415-322-5070","415-870-2700"
1034623,"2529 COLLINAS PT.","","CHINO HILLS","CA","United States","91709","N","(909) 331-6658",""
1042483,"111 8TH AVENUE","16TH FLOOR","NEW YORK","NY","United States","10011","N","212-776-1912",""
1042483,"2 JACK LONDON ALLEY","","SAN FRANCISCO","CA","United States","94107","N","415-354-1752",""
1042483,"505 HAMILTON, SUITE 110","","PALO ALTO","CA","United States","94301","N","650-614-4800",""
1033170,"28, AVENUE MARNIX","","BRUSSELS","","Belgium","1000","N","+32 22 2896200",""
1033170,"CORSO ITALIA 1","","MILANO","","Italy","20122","N","+39 0285459100",""
1042752,"10 GRESHAM STREET","","LONDON","","United Kingdom","EC2V 7AE","N","02076261500",""
1024398,"300 HAMILTON AVE","SUITE 400","PALO ALTO","CA","United States","94301","N","435-200-1051","435-200-1051"
1033181,"89 PINE STREET","","PORTLAND","ME","United States","04102","Y","1 646-502-5620",""
1027816,"C/O AXIOM ASIA PRIVATE CAPITAL PTE. LTD.","16 COLLYER QUAY #11-02","SINGAPORE","","Singapore","S049318","N","656 336 8886","65 6336 8868"
1036502,"ROGERS HOUSE","5 PRESIDENT JOHN KENNEDY STREET","PORT LOUIS","","Mauritius","","N","+2304052000","+2302125265"
1040445,"BIRGER JARLSGATAN 32 B","","STOCKHOLM","","Sweden","SE-114 29","N","004684074200",""
1040445,"RIKHARDINKATU 4 B","","HELSINKI","","Finland","FIN-00130","N","0035896980334",""
1040892,"AYORA CAPITAL MANAGEMENT LLP","ST ALBANS HOUSE, 57-59 HAYMARKET","LONDON","","United Kingdom","SW1Y 4QX","N","020 3757 4861",""
1040892,"HSE CAPITAL MANAGEMENT LLP","ST ALBANS HOUSE, 57-59 HAYMARKET","LONDON","","United Kingdom","SW1Y 4QX","N","020 3757 4882",""
1040892,"PAGLIARO CAPITAL MANAGEMENT LLP","ST ALBANS HOUSE, 57-59 HAYMARKET","LONDON","","United Kingdom","SW1Y 4QX","N","020 3757 4871",""
1040892,"RBH CAPITAL MANAGEMENT LLP","ST ALBANS HOUSE, 57-59 HAYMARKET","LONDON","","United Kingdom","SW1Y 4QX","N","000 0000 0000",""
1040892,"CROSS OCEAN ADVISER LLP","11 CHARLES II STREET","LONDON","","United Kingdom","SW1Y 4QU","N","+44 2076536206",""
1040892,"VALEUR CAPITAL LIMITED","20 GROSVENOR PLACE","LONDON","","United Kingdom","SW1X 7HN","N","+44 7747007809",""
1040892,"CHINA POST GLOBAL (UK) LIMITED","25 HANOVER SQUARE","LONDON","","United Kingdom","W1S 1JF","N","+44 2036175260",""
1040892,"SEGANTII CAPITAL MANAGEMENT (UK) LIMITED","5TH FLOOR, ALDERMARY HOUSE, 10-15 QUEEN STREET","LONDON","","United Kingdom","EC4N 1TX","N","000 0000 0000",""
1033466,"2, AVENUE DU BOUCHET, CP 180","","GENEVA 28","","Switzerland","1211","N","+41228074112",""
1033466,"37A AVENUE J.-F. KENNEDY","","LUXEMBOURG","","Luxembourg","1855","N","352 27 17 62 1",""
1033466,"CLARIDENSTRASSE 41","","ZURICH","","Switzerland","8002","N","41-44-567-8000",""
1037640,"4203 MONTROSE BLVD","SUITE 300","HOUSTON","TX","United States","77006","N","713.904.1926",""
1041371,"80 RAFFLES PLACE","#57-01A UOB PLAZA 1","SINGAPORE","","Singapore","048624","N","+6566541750","+6566541735"
1035017,"14 MAINE ST.","SUITE 216","BRUNSWICK","ME","United States","04011","N","888-988-2002",""
1040528,"400 SOUTH RIVER ROAD","SUITE 300","NEW HOPE","PA","United States","18938","N","215-862-7234",""
1040528,"1010 WASHINGTON BLVD","SUITE 1050","STAMFORD","CT","United States","06901","N","203-428-3250",""
1031271,"AV. CIDADE JARDIM 803, CJ 62","","SAO PAULO","","Brazil","01453000","N","+551138180897","+551138180897"
1037041,"52-54 WELLINGTON STREET","803, 9/F SOMPTUEUX CENTRAL","HONG KONG","","Hong kong","","N","+85237520450","+85237520662"
1038244,"PENROSE WHARF, ALFRED STREET","2ND FLOOR","CORK","","Ireland","T23XN53","N","+353 214700991",""
1038244,"2101A OFFICE CENTURY PLAZA","NO. 3018 SHENNAN BLVD, FUTIAN DISTRICT","SHENZHEN","","China","","N","+8613889653640",""
1038244,"HERO CENTER, LEVEL 1, BUILDING 3, WEST ENTRANCE","28 YUYUAN EAST ROAD","JING-AN 2000031 SHANGHAI","","China","","N","818 205 7676",""
1038244,"479 JESSIE STREET","","SAN FRANCISCO","CA","United States","94103","N","818 205 7676",""
1035456,"655 REDWOOD HIGHWAY","SUITE 368","MILL VALLEY","CA","United States","94941","N","415-322-5070","415-870-2700"
1034996,"530 FIFTH AVENUE","22ND FLOOR","NEW YORK","NY","United States","10036","N","212 444-4100","212 444-4101"
1034996,"34 FARNSWORTH STREET","3RD FLOOR","BOSTON","MA","United States","02210","N","617 995-2000","617 995-2001"
1033274,"77 WATER STREET","SUITE 1602","NEW YORK","NY","United States","10005","N","(646) 432-0426",""
1034802,"1370 AVENUE OF THE AMERICAS","#2915","NEW YORK","NY","United States","10019","N","6465025750",""
1038715,"LEVEL 10","111 GAWLER PLACE","ADELAIDE","","Australia","5000","N","+617327075900","+61732707599"
1034191,"25 GREAT PULTENEY STREET","","LONDON","","United Kingdom","W1F 9LT","N","00442071542020","00442071542021"
1038170,"OKEANUS BUILDING","50 RAMAT YAM STREET","HERZLIYA PITUACH","","Israel","46851","N","97299561634",""
1031207,"C/O MAPLES AND CALDER, 121 UGLAND HOUSE","SOUTH CHURCH STREET","GRAND CAYMAN","","Cayman Islands","KY1-1104","N","(345) 949-8066","(345) 949-8080"
1036497,"250 NORTH BRIDGE ROAD","#16-03A, RAFFLES CITY TOWER","SINGAPORE","","Singapore","179101","N","+6565130811",""
1034619,"475 GATE FIVE ROAD","SUITE 324","SAUSALITO","CA","United States","94965","N","415-331-7100",""
1038552,"MAXIMILLIANSTRASSE 11","","MUENCHEN","","Germany","80539","N","498924441070",""
1042510,"C/O OCP ASIA (SINGAPORE) PTE. LTD","350 ORCHARD RD, #12-01/03 SHAW HOUSE","SINGAPORE","","Singapore","238868","N","6564039880","6564039878"
1043200,"BIRGER JARLSGATAN 32 B","","STOCKHOLM","","Sweden","SE-114 29","N","004684074200",""
1043200,"RIKHARDINKATU 4 B","","HELSINKI","","Finland","FIN-00130","N","0035896980334",""
1036410,"320 PARK AVENUE, 28TH FLOOR","","NEW YORK","NY","United States","10022-4690","N","212 386 7480",""
1036410,"80 PALL MALL","","LONDON","","United Kingdom","SW1Y 5ES","N","4420 7632 1000",""
1036410,"BOCKENHEIMER LANDSTRASSE 33","","FRANKFURT AM MAIN","","Germany","60325","N","49 69 97 14660",""
1036410,"VIA SAN PAOLO, 10 PL.","","MILAN","","Italy","20121","N","39 02 76004740",""
1036410,"28/F ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE","","HONG KONG","","Hong kong","","N","852 3972 0800",""
1038525,"P.O. BOX 472","50 TOWN RANGE","GIBRALTAR","","Gibraltar","","N","350-20040000",""
1035796,"14 MAINE ST.","SUITE 216","BRUNSWICK","ME","United States","04011","N","888-988-2002",""
1041349,"1147 BLANCHE ST.","","PASADENA","CA","United States","91106","N","(310) 271-1866","(310) 271-1845"
1038065,"29 ST GEORGE STREET","","LONDON","","United Kingdom","W1S 2FA","N","02077585900","02077585901"
1038065,"6 CANNING STREET","ATHOLL EXCHANGE","EDINBURGH","","United Kingdom","","N","0131 209 7770",""
