"FilingID","Miscellaneous"
608454,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS ASIA LTD PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.   WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
608712,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS SHANGHAI LIMITED PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNER OF THE PRIVATE FUND BUT IT IS THE GENERAL PARTNER THAT IS RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUND.   WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
608958,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
610400,"1. ELSWORTHY SERVICES LIMITED, AN ENGLISH LIMITED LIABILITY COMPANY (""ESL""), IS THE CORPORATE PARTNER OF ELSWORTHY CAPITAL LLP, AN ENGLISH LIMITED LIABILITY PARTNERSHIP (""THE APPLICANT""). THE APPLICANT IS REGISTERED WITH THE FINANCIAL SERVICES AUTHORITY IN THE UNITED KINGDOM.   ELSWORTHY CAPITAL MANAGEMENT LTD, A CAYMAN ISLAND LIMITED LIABILITY COMPANY (""ECM""), OWNS 100% OF THE SHARE CAPITAL OF ESL AND SERVES AS MANAGER TO THE FUND.  CHEYNE TRUST A, A JERSEY BASED TRUST OF WHICH RICHARD WOOLF (DIRECT OWNER/PARTNER IN THE APPLICANT) IS THE PRINCIPLE BENEFICIARY, OWNS 68.5% OF THE SHARE CAPITAL OF ECM.  THE CONTROLLING BENEFICIAL OWNERS OF THE APPLICANT ALSO HOLD CONTROLLING EQUITY INTERESTS IN ECM. 2. SECTION2B - THE APPLICANT DOES NOT MANAGE ANY FUNDS AT A PLACE OF BUSINESS IN THE US.  HOWEVER, THE IARD SYSTEM WILL NOT ALLOW $0 TO BE ENTERED IN THE RELEVANT FIELD.  THEREFORE, FOR SYSTEM PURPOSES, A NOMINAL VALUE (I.E. $1) HAS BEEN ENTERED."
606850,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS AG PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
606148,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS OY PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
606536,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS AS PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNERS OF THE PRIVATE FUNDS BUT IT IS THE GENERAL PARTNERS THAT ARE RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUNDS.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
607331,"WITH REFERENCE TO ITEM 7B, PLEASE NOTE THAT EQT PARTNERS SINGAPORE PTE. LTD. PROVIDES INVESTMENT ADVICE TO THE GENERAL PARTNER OF THE PRIVATE FUND BUT IT IS THE GENERAL PARTNER THAT IS RESPONSIBLE FOR ALL INVESTMENT DECISIONS RELATING TO THE PRIVATE FUND.  WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 IS INCLUDED INSTEAD."
609921,"PLEASE NOTE THE CORRECT ANSWER TO THE SECOND PRONG OF SECTION 2.B(2): $0 ASSETS ARE MANAGED IN THE UNITED STATES"
610483,"PLEASE NOTE THE CORRECT ANSWER TO THE SECOND PRONG OF SECTION 2.B(2): $0 ASSETS ARE MANAGED IN THE UNITED STATES"
608608,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
609361,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
608607,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
609407,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
608872,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
609336,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
609024,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
607351,"WITH REFERENCE TO SECTION 2.B. OF SCHEDULE D, PLEASE NOTE THAT THE AMOUNT OF THE PRIVATE FUND ASSETS UNDER MANAGEMENT IN THE UNITED STATES OF AMERICA IS $0 (ZERO), BUT SINCE THE SYSTEM WILL NOT ACCEPT $0 (ZERO), $1 HAS BEEN INCLUDED INSTEAD."
609854,"NEW CHINA INVESTMENT MANAGEMENT, INC. REQUESTS THAT THIS FILING BE EFFECTIVE NO EARLIER THAN MARCH 30, 2012."
606392,"IN SECTION 2B PRIVATE FUND ASSETS ARE ZERO BUT FOR SYSTEM PURPOSES I PUT IN $1"
599618,"PLEASE NOTE THAT THE FIGURE WHICH SHOULD HAVE BEEN DISCLOSED IN SECTION 2B OF SCHEDULE D IS $0 BUT DUE TO A SYSTEM FAULT THIS WAS UNABLE TO BE CORRECTLY INPUT.  IN SECTION 7(B)(1) THE FORM D FILING NUMBERS FOR THE FEEDER FUND  CC ASIA ABSOLUTE RETURN LP HAVE BEEN LISTED, IT IS THE ONLY PRIVATE FUND IN THE MASTER-FEEDER ARRANGEMENT WHICH RELIES ON AN EXEMPTION FROM REGULATION D."
610532,"PRESENTLY, CAPITAL DYNAMICS LIMITED MANAGES ONLY PRIVATE INVESTMENT FUNDS BASED OUTSIDE OF THE UNITED STATES, WITH SUBSTANTIALLY LESS THAN $150 MILLION OF US INVESTOR MONEY INVESTED IN THOSE FUNDS (PRESENTLY, APPROXIMATELY $48,000,000 (SEE SECTION 7, HEREIN). THE FIRM MANAGES OR MAY SEEK TO MANAGE OTHER FUNDS LOCATED OUTSIDE OF THE UNITED STATES IN WHICH NO US PERSONS OR ENTITIES INVEST. THE FIRM WILL UPDATE AND/OR CORRECT DATA AND INFORMATION IN THIS FORM AS NECESSARY FROM TIME TO TIME."
601299,"WHILE THE SOUTHERN FUNDS GROUP, LLC, MVP-GP VI L.P. AND MVP GEFII-GP, L.P. ARE ORGANIZED AS SEPARATE LEGAL ENTITIES, THEY COLLECTIVELY CONDUCT A SINGLE ADVISORY BUSINESS AND ARE OTHERWISE ""OPERATIONALLY INTEGRATED."""
609326,"FOR 1.B. OTHER BUSINESS NAME - THE ""JURISDICTIONS"" ITEM: WE COULD NOT TYPE THE FOREIGN COUNTRIES.  THEREFORE, PROVIDE 1.B.  OTHER BUSINESS NAME AS BELOW :  NAME : ??????????  JURISDICTIONS : HONG KONG, CHINA, TAIWAN.  NAME : PINEBRIDGE INVESTMENTS ASIA LIMITED, PHILIPPINE BRANCH  JURISDICTIONS : HONG KONG, PHILIPPINES  NAME :?????????    JURISDICTIONS : SOUTH KOREA"
601419,"SCHEDULE D 2.B - AKO CAPITAL LLP DOES NOT HAVE ANY PLACE OF BUSINESS IN THE US AND SO WE MANAGE ""NIL"" ASSETS IN THE US.   HOWEVER TO PASS THE ""COMPLETENESS CHECK"" WE NEED TO RECORD ""ONE"" AS OUR ASSETS UNDER MANAGEMENT."
602579,"PLEASE NOTE THAT THE FIGURE IN SECTION 2B OF SCHEDULE D SHOULD BE $0 BUT THIS WAS UNABLE (DUE TO A SYSTEM FAULT) TO BE CORRECTLY INPUT."
613787,"PLEASE NOTE THE CORRECT ANSWER TO THE SECOND PRONG OF SECTION 2.B(2): $0 ASSETS ARE MANAGED IN THE UNITED STATES"
602917,"PLEASE NOTE THAT THAT THE CORRECT RESPONSE TO SECTION 2.B. OF SCHEDULE D SHOULD BE ""0"". HOWEVER, DUE TO A SYSTEM GLITCH, ""0"" IS NOT BEING ACCEPTED AND ON THE ADVICE OF THE SEC, ""1"" HAS BEEN USED AS A TEMPORARY WORKAROUND FOR COMPLETENESS."
612071,"IN SCHEDULE D, ITEM 7.B.(1) (PRIVATE FUND REPORTING), QUESTION 12, THE MINIMUM INVESTMENT COMMITMENT REQUIRED OF AN INVESTOR IN THE PRIVATE FUND IS $5,000,000, AS INDICATED, BUT THIS REQUIREMENT IS SUBJECT TO THE GENERAL PARTNER'S RIGHT TO ACCEPT COMMITMENTS OF LESSER AMOUNTS. THE ADDITION HERE IS APPLICABLE TO ALL FOUR PRIVATE FUNDS THAT WE HAVE REPORTED ON SCHEDULE D, ITEM 7.B.(1)."
610578,"ADVISORY SERVICES TO DIAMONDBACK CONSISTS SOLELY OF THE SALE OF RESEARCH TO A PRIVATE FUND."
611358,"THE APPLICANT REQUESTS THAT THE EFFECTIVE DATE OF ITS EXEMPTION FILING BE DELAYED UNTIL MARCH 28, 2012. ALTHOUGH SCHEDULE D, SECTION 2.B OF THIS FORM ADV PART 1 REQUIRES THE APPLICANT TO STATE THAT IT HAS $1 OF PRIVATE FUND ASSETS THAT IT MANAGES AT A PLACE OF BUSINESS IN THE UNITED STATES, THE REGISTRANT DOES NOT, IN FACT, HAVE ANY ASSETS THAT IT MANAGES AT A PLACE OF BUSINESS IN THE UNITED STATES."
610961,"ITEM 2B AND SCHEDULE D, SECTION 2B: DUE TO AN IARD SYSTEM ERROR, FORM ADV CANNOT BE SUBMITTED WITH AN ANSWER OF $0 TO SECTION 2B OF SCHEDULE D. THEREFORE, ENFOCA ASSET MANAGEMENT, LTD. ANSWERED $1 AND PROVIDES THE FOLLOWING EXPLANATION: THE AMOUNT OF PRIVATE FUND ASSETS MANAGED FOR PURPOSES OF SECTION 2B OF SCHEDULE D IS $0 BECAUSE ENFOCA ASSET MANAGEMENT, LTD. IS AN INVESTMENT ADVISER WITH ITS PRINCIPAL OFFICE AND PLACE OF BUSINESS OUTSIDE OF THE UNITED STATES AND ENFOCA ASSET MANAGEMENT, LTD. DOES NOT MANAGE ANY PRIVATE FUND ASSETS AT A PLACE OF BUSINESS IN THE UNITED STATES. ITEM 7B AND SECTION 7B1 OF SCHEDULE D: THE MINIMUM REQUIRED INVESTMENT AMOUNT IS NOT APPLICABLE TO ENFOCA ANDEAN INVESTMENTS L.P., WHICH WAS FORMED AS A PRIVATE FUND SOLELY TO RECEIVE INVESTED CAPITAL FROM INVESTORS ADVISED BY ONE OR MORE RELATED ADVISERS THAT ARE NOT AFFILIATED WITH ENFOCA ASSET MANAGEMENT, LTD. ENFOCA ASSET MANAGEMENT, LTD. REQUESTS THAT THIS FILING BE EFFECTIVE NO EARLIER THAN MARCH 30, 2012."
610808,"SECTION 2.B. PRIVATE FUND ASSETS THE AMOUNT OF THE PRIVATE FUND ASSETS THAT WE MANAGE AT A PLACE OF BUSINESS IN THE UNITED STATES IS $0, BUT DUE TO SYSTEM RESTRICTION, WE HAVE INPUTTED $1 INSTEAD."
598591,"SCHEDULE D, SECTION 2 B - THE AMOUNT IS ACTUALLY $0 DOLLARS."
613158,"SECTION 2.B OF THIS SCHEDULE D SHOULD READ ""0"" FOR THE AMOUNT OF PRIVATE FUND ASSETS THAT PK INVESTMENT MANAGEMENT LLP MANAGES BECAUSE NONE OF THESE ASSETS ARE MANAGED AT A PLACE OF BUSINESS IN THE UNITES STATES. HOWEVER THIS FORM CANNOT BE FILED WITH A ""0"" IN THIS SECTION DUE TO A SYSTEM DESIGN FAULT AND THEREFORE ""1"" IS USED AS THE CLOSEST PROXY FOR ""0""."
613901,"PLEASE NOTE THE CORRECT ANSWER TO THE SECOND PRONG OF SECTION 2.B(2): $0 ASSETS ARE MANAGED IN THE UNITED STATES"
601736,"SECTION 2.B: PRIVATE FUND ASSETS: WE'VE ENTERED $1 BECAUSE THE FIELD WON'T ACCEPT ZERO BUT WE DO NOT MANAGE ANY ASSETS FROM A US PACE OF BUSINESS."
613430,"ITEM 7.B.(1):  THE TOTAL ASSETS OF EACH FEEDER FUND (CCM SMALL CAP VALUE FUND, LP, CCM SMALL CAP VALUE QUALIFIED FUND, LP, & CCM SMALL CAP VALUE FUND, LTD) ARE INVESTED IN CCM MASTER QUALIFIED FUND, LTD, EXCEPT FOR A MINORITY INTEREST IN CCM SPECIAL HOLDINGS FUND, LP BY CCM SMALL CAP VALUE FUND, LTD.  ACCORDINGLY, THE TOTAL ASSETS OF THE MASTER FUND INCLUDE THE TOTAL ASSETS OF THE RELEVANT FEEDER FUNDS.  CCM MASTER QUALIFIED FUND, LTD INVESTS A PORTION OF ITS ASSETS IN CCM ASIAN SMALL CAP VALUE FUND, LP.  SCHEDULE B (INDIRECT OWNERS):  CLINT COGHILL CONTROLS CDC FINANCIAL INC.  CLINT COGHILL, THROUGH ENTITIES THAT HE OWNS OR OTHERWISE CONTROLS, CONTROLS A SUBSTANTIAL MAJORITY OF THE EQUITY INTEREST OF COGHILL CAPITAL MANAGEMENT, L.L.C."
604031,"ITEM 7.A: SOME OF THE RELATED PERSONS OF BAILLIE GIFFORD & CO LIMITED ARE NOT LISTED IN SECTION 7.A OF SCHEDULE D BECAUSE THEY DO NOT FALL UNDER ANY OF THE CATEGORIES LISTED IN ITEM 7.A, AND THEREFORE ARE NOT REQUIRED TO BE LISTED IN SECTION 7.A OF SCHEDULE D. BAILLIE GIFFORD & CO LIMITED MAINTAINS A SUPPLEMENTARY LIST OF THOSE RELATED PERSONS NOT INCLUDED IN SECTION 7.A OF SCHEDULE D, AND BAILLIE GIFFORD & CO LIMITED WILL PROVIDE A COPY OF THAT LIST UPON REQUEST.     ITEM 7.B (1) - SCHEDULE D, Q.10:  THE OPEN-ENDED INVESTMENT COMPANY (OFTEN REFERRED TO AS AN ""OEIC"") IS INCORPORATED IN SCOTLAND UNDER THE UNITED KINGDOM'S OPEN-ENDED INVESTMENT COMPANIES REGULATIONS 2001.    ITEM 10.A - SCHEDULE A: ANDREW TELFER HAS BEEN INCLUDED IN THE LIST OF CONTROL PERSONS AS HE HAS BEEN APPOINTED TO THE BOARD OF DIRECTORS. HIS APPOINTMENT, HOWEVER, IS SUBJECT TO THE FINAL APPROVAL OF THE UK FINANCIAL SERVICES AUTHORITY WHICH WE EXPECT TO RECEIVE IN FEBRUARY 2012.    ITEM 2.B - SCHEDULE D:  BAILLIE GIFFORD & CO LIMITED DOES NOT MANAGE ANY PRIVATE FUND ASSETS AT A PLACE OF BUSINESS IN THE UNITED STATES AND THE CORRECT AMOUNT AT THIS ITEM SHOULD BE $0. AS THE SYSTEM REQUIRES A POSITIVE VALUE TO BE INSERTED IN THIS FIELD, $1 HAS BEEN INSERTED AS A WORKAROUND."
612497,"IN SECTION 7B(1) UNDER SERVICE PROVIDERS, SCHWARTZ & COMPANY LLP WAS CHECKED OFF AS AN ADMINISTRATOR; HOWEVER, THEY SERVE PRIMARILY IN A CONSULTING CAPACITY. THEY DO HOWEVER PREPARE EACH FUNDS 12/31 TRIAL BALANCE, YEAR END FINANCIAL STATEMENTS WITH BACK-UP WORKPAPERS TO PROVIDE TO AUDITORS, AND PREPARE CAPITAL SCHEDULES ALLOCATING INCOME & EXPENSE TO PARTNERS AS WELL AS PERFORMANCE FEES EARNED."
601868,"1. CORPORATE STRUCTURE -  SAGIL ASSET MANAGEMENT LTD (""SAML""), AN ENGLISH LIMITED LIABILITY COMPANY, IS THE CORPORATE PARTNER OF SAGIL CAPITAL LLP (""THE APPLICANT"").  THE APPLICANT IS REGISTERED WITH THE FINANCIAL SERVICES AUTHORITY IN THE UNITED KINGDOM. SAGIL ASSET MANAGEMENT (CAYMAN) LTD (""SMC""), A CAYMAN ISLAND LIMITED LIABILITY COMPANY, OWNS 100% OF THE SHARE CAPITAL OF SAML AND SERVES AS MANAGER TO THE FUND. SAGIL HOLDINGS LTD (""SHL""), A CAYMAN ISLAND LIMITED LIABILITY COMPANY OF WHICH THE INDIVIDUAL PARTNERS OF THE APPLICANT HOLD ALL CONTROLLING INTERESTS, OWNS 64.1% OF THE SHARE CAPITAL OF SMC.  2. SECTION 2B PRIVATE FUND ASSETS -  PLEASE NOTE THAT THE APPLICANT DOES NOT MANAGE ANY FUNDS AT A PLACE OF BUSINESS IN THE US ($47M IS THE TOTAL VALUE OF FUNDS UNDER MANAGEMENT).  HOWEVER, THE APPLICATION FORM WILL NOT ACCEPT $0 AND SO WE HAVE ENTERED A NOMINAL VALUE (I.E. $1)."
609885,"WARWICK CAPITAL PARTNERS DOES NOT MANAGE ANY ASSETS UNDER MANAGEMENT FROM A PLACE OF BUSINESS IN THE U.S."
590878,"THE VALUE OF ""PRIVATE FUND ASSETS"" MANAGED AT A PLACE OF BUSINESS IN THE UNITED STATES IS $0, RATHER THAN $1 AS INDICATED IN SECTION 2.B. DUE TO LIMITATIONS IN THE IARD SYSTEM.  ALTHOUGH THE APPLICANT IS FILING THIS APPLICATION IN ADVANCE OF 30 MARCH 2012, THE APPLICANT HEREBY REQUESTS YOU DO NOT ACCELERATE ITS EFFECTIVE DATE AND LET THE REGISTRATION BECOME EFFECTIVE BY LAPSE OF TIME PURSUANT TO THE INVESTMENT ADVISERS ACT."
590887,"THE VALUE OF ""PRIVATE FUND ASSETS"" MANAGED AT A PLACE OF BUSINESS IN THE UNITED STATES IS $0, RATHER THAN $1 AS INDICATED IN SECTION 2.B. DUE TO LIMITATIONS IN THE IARD SYSTEM.  ALTHOUGH THE APPLICANT IS FILING THIS APPLICATION IN ADVANCE OF 30 MARCH 2012, THE APPLICANT HEREBY REQUESTS YOU DO NOT ACCELERATE ITS EFFECTIVE DATE AND LET THE REGISTRATION BECOME EFFECTIVE BY LAPSE OF TIME PURSUANT TO THE INVESTMENT ADVISERS ACT."
608876,"A SINGLE REPORT IS BEING FILED FOR VULPES INVESTMENT MANAGEMENT PRIVATE LIMITED (VIMPL) AND VULPES INVESTMENT MANAGEMENT LIMITED (VIML). VIMPL IS THE INVESTMENT ADVISER FOR THE FUNDS MANAGED BY VIML, WHICH IS A CAYMAN ISLANDS LIMITED LIABILITY COMPANY. THE THREE DIRECTORS OF VIML ARE STEPHEN DIGGLE, ALISTAIR NICHOLSON, AND KEVIN SNOWBALL, WHO ARE ALSO DIRECTORS OF VULPES LONG ASIAN VOLATILITY AND ARBITRAGE FUND, VULPES RUSSIAN OPPORTUNITIES FUND (ROF), AND VULPES TESTUDO FUND. THE CORRECT ANSWER TO SECTION 2.B. OF SCHEDULE D IS $0; HOWEVER, THE APPLICATION WILL NOT ACCEPT ANY VALUE SMALL THAN $1."
