"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number"
"891254","10TH FLOOR, THE ENERGY BUILDING","SCBD LOT 11A, JL. JEND. SUDIRMAN KAV. 52-53","JAKARTA","","Indonesia","12190","N","6221 2995 1665","6221 2995 1666"
"891254","ROOM 1506, TOWER H, PHOENIX PLACE","JIA 5, SHUGUANGXILI, CHAOYANG DISTRICT","BEIJING","","China","100028","N","86 10 56320318","86 10 56383398"
"891254","8 TEMASEK BOULEVARD","#28-03 SUNTEC TOWER THREE","SINGAPORE","","Singapore","038988","N","65 6238 2260","65 6238 1290"
"892357","5956 SHERRY LANE","SUITE 1365","DALLAS","TX","United States","75225","N","212-554-4621",""
"896592","23 BARAKHAMBA ROAD","10TH FL, NARAIN MANZIL BUILDING","NEW DELHI","","India","11001","N","911149679999","911141501333"
"884765","3 HILL STREET","","LONDON","","United Kingdom","W1J 5LA","N","+44 (0) 207 40",""
"895596","423 WASHINGTON STREET","2ND FLOOR","SAN FRANCISCO","CA","United States","94111","N","415-423-0010",""
"895596","ONE INTERNATIONAL PLACE","46TH FLOOR","BOSTON","MA","United States","02110","N","617-292-3310","617-292-1833"
"892954","ONE DOCK STREET SUITE 112","","STAMFORD","CT","United States","06902","N","(203) 930-7770",""
"884192","7800 EQUITABLE DRIVE","SUITE 150","MINNEAPOLIS","MN","United States","55344","N","6122541170",""
"884192","AESCHENVORSTADT 36","","BASEL","","Switzerland","CH-4051","N","41612254600","41612254601"
"884192","887 GREAT NORTHERN WAY","SUITE 210","VANCOUVER, BC","","Canada","V5T 4T5","N","(604) 424-9913",""
"878260","1345 AVENUE OF THE AMERICAS, 2ND FL.","","NEW YORK","NY","United States","10105-0014","N","646-502-6065",""
"890392","PLATINA TOWER, 5TH FLOOR","SZABADSAG TER 7.","1054 BUDAPEST","","Hungary","","N","36 (1)4111270",""
"890392","WARSAW FINANCIAL CENTER 29TH FLOOR","UL. EMILII PLATER 53","00-113 WARSAW","","Poland","","N","48 (22)5407120",""
"896377","1380 W PACES FERRY RD NW","SUITE 1265","ATLANTA","GA","United States","30327-2465","N","404-220-9053",""
"893092","2550 SAND HILL ROAD","","MENLO PARK","CA","United States","94025","N","650-493-5525","650-493-5575"
"882956","26 WAVERLY","","DARIEN","CT","United States","06820","Y","203-554-5810","203-202-9112"
"882956","1161 NORTH MERIDIAN STREET","SUITE 310","CARMEL","IN","United States","46032","N","317-275-6800","317-275-1100"
"882956","312 WALNUT ST","SUITE 1120","CINCINNATI","OH","United States","45202","N","513-723-2301","513-723-2306"
"895272","5300 STEVENS CREEK BLVD., SUITE 500","","SAN JOSE","CA","United States","95129","N","408-236-6500","408-554-6600"
"895285","2882 SAND HILL ROAD","SUITE 150","MENLO PARK","CA","United States","94025","N","650 233 9000","650 233 9233"
"879329","3856 S. BOULEVARD","SUITE 210","EDMOND","OK","United States","73013","N","405.341.9993","405.341.9973"
"879329","1100 LOUISIANA ST","SUITE 5025","HOUSTON","TX","United States","77002","N","281-829-4901","281-829-4902"
"895296","7TH FLOOR INVEST KOREA","7 HEOLLEUNG-NO SEOCHO-GU","SEOUL","","Korea, South","137-749","N","82 2 554-3131","82 2 553-2201"
"874759","3811 TURTLE CREEK BLVD.","SUITE 1000","DALLAS","TX","United States","75219","N","214-599-0800","214-599-0200"
"895297","UNIT 3102, WHEELOCK SQUARE","NO. 1717 WEST NANJING ROAD","SHANGHAI","","China","200040","N","021 6280 0580","021 6280 0585"
"887034","C/O COPELAND CAPITAL MGMT","161 WASHINGTON ST., SUITE 1325","CONSHOHOCKEN","PA","United States","19428","N","484-351-3700","484-351-3658"
"866599","UNIT 2201 TOWER 1 (EAST TOWER), PROSPER CENTER","NO 5, GUANG HUA ROAD, CHAO YANG DISTRICT","BEIJING","","China","","N","8610 85875300","861085875299"
"897486","11 CHANNEL CAY","","KEY LARGO","FL","United States","33037","Y","202-618-8749","202-365-2668"
"897486","7 TEABERRY LANE","","DELRAN","NJ","United States","08075","Y","202-618-8743","202-365-2668"
"892101","SERVCORP - LEVEL 4 - BUILDING B-AL MAMOURA","MOHAMMAD BIN KHALIFA STREET NO. 15","MUROOR DISTRICT","","United Arab Emirates","","N","971 2659 4225","971 2659 4150"
"875888","801 W. ANN ARBOR TRAIL","STE. 220","PLYMOUTH","MI","United States","48170","N","517-513-8923",""
"875888","507 S. GRAND AVE.","","LANSING","MI","United States","48933","N","517-435-2910",""
"895547","2A' HAMELACHA STREET","","RA'ANANA","","Israel","43657","N","+972-9-9561621","972-73-7146734"
"897760","145 STAGHOUND COURT","","ALPHARETTA","GA","United States","30005","N","+1 770-619-012","+1 770-619-012"
"894164","2, TSVETNOY BLVD","","MOSCOW","","Russia","127051","N","+74956623030","+74956623397"
"897831","455 MISSION BAY BLVD SOUTH","SUITE 575","SAN FRANCISCO","CA","United States","94158","N","415-766-3600","415-766-3699"
"896846","540 MADISON AVENUE","SUITE 2800","NEW YORK","NY","United States","10022-3213","N","212-682-4800","212-682-4480"
"883719","QUADRIGA CAPITAL BETEILIGUNGSBERATUNG GMBH","HAMBURGER ALLEE 4","FRANKFURT","","Germany","60486","N","49697950000",""
"876107","10059 LINCOLN HIGHWAY","","FRANKFORT","IL","United States","60423","N","815-806-0815","646-219-0443"
"894184","30 RUE GALILEE","","PARIS","","France","75116","N","+33 1 47238862","+33 1 47238855"
"890814","401 EAST 34TH STREET","SUITE SOUTH 33C","NEW YORK","NY","United States","10016","N","212-842-0733",""
"898195","1235 BAY STREET","SUITE 801","TORONTO, ON","","Canada","M5R 3K4","N","416-975-4526","647-931-7452"
"898195","220 12TH AVE SW","#3303","CALGARY, AB","","Canada","T2R 0C6","N","403-806-7931","403-806-7091"
"898195","3801 PGA BOULEVARD","SUITE 600","PALM BEACH GARDENS","FL","United States","33410","N","484-539-1860","484-539-1870"
"894160","400 SOUTH RIVER ROAD","SUITE 300","NEW HOPE","PA","United States","18938","N","215-862-7234",""
"894160","1010 WASHINGTON BLVD","SUITE 1050","STAMFORD","CT","United States","06901","N","203-428-3250",""
"893919","1010 WASHINGTON BLVD","SUITE 1050","STAMFORD","CT","United States","06901","N","203-428-3250",""
"896455","572 WASHINGTON STREET,","SUITE 8","WELLESLEY","MA","United States","02482","N","781-663-0220","781-851-1832"
"895384","ICBC TOWER, ROOM 808","3 GARDEN ROAD, CENTRAL","HONG KONG","","China","","N","852-2509-3882",""
"879050","7TH FLOOR WORKERS HOUSE","PLOT 1 PILKINGTON ROAD","KAMPALA","","Uganda","","N","+256 414 34070","+256 414 34075"
"891256","UNIT 402, 4TH FLOOR FAIRMONT HOUSE","NO.8 COTTON TREE DRIVE, ADMIRALTY","HONG KONG","","China","","N","+852 3107 0682","+852 3107 0683"
"891256","ROOM 611,BEIJING FORTUNE PLAZA NO.7","EAST THIRD RING MID RD, CHAOYANG DISTRICT","BEIJING","","China","","N","+861065309968","+861065309968"
"897809","11766 WILSHIRE BLVD","SUITE 1470","LOS ANGELES","CA","United States","90025","N","424-208-8469","424-256-2505"
"874001","82, RUE DE COURCELLES","","PARIS","","France","75008","N","+33170225300",""
"893138","125 CAMBRIDGE PARK DRIVE","SUITE 301","CAMBRIDGE","MA","United States","02140","N","781-890-2161","781-207-8526"
"876299","18/F, C TOWER, CENTRAL INTERNATIONAL TRADE CENTRE","6A JIANGUOMENWAI AVENUE, CHAO YANG DISTRICT","BEIJING","","China","100022","N","010-6563 0202",""
"898580","68 WEST BAY ROAD, P.O. BOX 10315","","GRAND CAYMAN","","Cayman Islands","KY1-1003","N","+1 345 815 786","+1 345 814 786"
"888373","2660 TOWNSGATE ROAD","SUITE 800C","WESTLAKE VILLAGE","CA","United States","91361","N","805 379 0900",""
"893944","2ND FLOOR, 6 CAVENDISH SQUARE","","LONDON","","United Kingdom","W1G0PD","N","442072996950","442072996951"
"893944","NIKOLSKAYA STREET 10","","MOSCOW","","Russia","109012","N","74959612810","74959612816"
"891384","230 SCHILLING CIRCLE","SUITE 362","HUNT VALLEY","MD","United States","22182","N","703-637-9555","410-527-1307"
"878525","BANK HOUSE, 8 CHERRY STREET","","BIRMINGHAM","","United Kingdom","B2 5AN","N","4401212531600","4401212531616"
"878525","2ND FLOOR, THE EXCHANGE, 3 NEW YORK STREET","","MANCHESTER","","United Kingdom","M1 4HN","N","4401619126500","4401612532313"
"898667","BIOSCIENCE RESEARCH COLLABORATIVE - SANTE VENTURES","6500 MAIN STREET, SUITE 175","HOUSTON","TX","United States","77030-1402","N","512-721-1200",""
"884961","REGUS BUSINESS CENTRE, 34, CYBERCITY","4TH FLOOR, EBENE HEIGHTS","EBENE","","Mauritius","","N","+230-403-4328","+230-403-4478"
"899134","12890 MAPLE GLEN RD.","","GLEN ELLEN","CA","United States","95442","N","650-289-4700",""
"898150","1 CALIFORNIA STREET","SUITE 2800","SAN FRANCISCO","CA","United States","94111","N","415-765-7240","415-765-7265"
"898150","188 MINNA STREET","UNIT 38E","SAN FRANCISCO","CA","United States","94105","N","415-788-2759","415-777-1568"
"891747","5425 WISCONSIN AVENUE","SUITE 704","CHEVY CHASE","MD","United States","20815","N","301-913-0239","301-913-0434"
"896749","260 HOMER AVENUE, SUITE 201","","PALO ALTO","CA","United States","94301","N","650-798-1600","650-798-1601"
"890256","4301 BRITTANY TRAIL","","CHAMPAIGN","IL","United States","61822","Y","312-444-6360",""
"889681","988 MARKET STREET","8TH FLOOR","SAN FRANCISCO","CA","United States","94102","N","650-854-8180",""
"898582","650 2ND STREET","#201","SF","CA","United States","94118","N","650-796-6501","650-284-0401"
"896787","21 KINGLY STREET, 2ND FLOOR","","LONDON","","United Kingdom","W1B5QA","N","4420 7287 8700",""
"896045","20 DAEV LANE","SUITE 506","MOSCOW","","Russia","107045","N","74957775415","74956048102"
"881388","535 MIDDLEFIELD ROAD, SUITE 245","","MENLO PARK","CA","United States","94025","N","650-853-7000","650-853-7001"
"881388","196 BROADWAY, 2ND FLOOR","","CAMBRIDGE","MA","United States","02139","N","617-588-1700","617-588-1701"
"881388","11 HASADNAOT STREET","P.O. BOX 12682","HERZLIYA PITUACH","","Israel","46733","N","972(9)972-1200","972(9)972-1220"
"881388","IFS COURT","TWENTYEIGHT, CYBERCITY","EBENE","","Mauritius","","N","230-467-3000",""
"881388","II FLOOR, #40","VITTAL MALLYA ROAD","BANGALORE","","India","560 001","N","9180 3082 9000","9180 3082 9001"
"881724","NO.21/8,CRAIG PARK LAYOUT,","OFF MG ROAD","BANGALORE","","India","560001","N","+91-80-433566",""
"881724","CALLE 100 #8A-55","TORRE C, PISO 10","BOGOTA","","Colombia","","N","+57-1-646-7376",""
"892828","1700 OWENS STREET","SUITE 535","SAN FRANCISCO","CA","United States","94158-0002","N","415-565-7103","415-565-7107"
"892828","999 THIRD AVENUE","SUITE 3400","SEATTLE","WA","United States","98104-4046","N","206-674-3028","206-674-3026"
"892828","5001 PLAZA ON THE LAKE","SUITE 103","AUSTIN","TX","United States","78746-1070","N","512-795-5830","512-795-5849"
"895295","6, RUE CHRISTOPHE COLOMB","","PARIS","","France","75008","N","331-5357-4600",""
"899730","3000 SAND HILL ROAD","SUITE 245","MENLO PARK","CA","United States","94025","N","415-276-5500",""
"895261","6, RUE CHRISTOPHE COLOMB","","PARIS","","France","75008","N","331-5357-4600",""
"871073","2-3 GOLDEN SQUARE","","LONDON","","United Kingdom","W1F9HR","N","+442074401777","+442074401778"
"882650","SUITES 1702-03, 17/F, ONE EXCHANGE SQUARE","","HONG KONG","","Hong kong","","N","852 2801 6988",""
"882650","#27-01A,SUNTEC TOWER 2, 9 TEMASEK BOULEVARD","","SINGAPORE","","Singapore","038989","N","65-68849558",""
"872910","501 ORCHARD ROAD","#17-01 WHEELOCK PLACE","SINGAPORE","","Singapore","238880","N","(65) 68368600","(65) 68368601"
"893978","9 LESNAYA STREET, WHITE GARDENS BUSINESS CENTER","BUILDING B, 6TH FLOOR","MOSCOW","","Russia","125047","N","+7 495 9671307","+7 495 9671308"
"893978","EVAGORA PAPACHRISTOFOROU","18 PETOUSSIS BROS BUILDING, 3RD FLOOR","LIMASSOL","","Cyprus","3030","N","+357 25 114000","+357 25 114001"
"898727","303 WYMAN STREET","SUITE 300","WALTHAM, BOSTON","MA","United States","02451-1208","N","1 781 530 3868","1 253 484 4262"
"898727","3400 DE MAISONNEUVE OUEST","SUITE 1050","MONTREAL","","Canada","H3Z 3B8","N","1 514 844 6927","1 514 844 5607"
"884483","UNIT 802A, OFFICE TOWER 1, CHINA CENTRAL PLACE","NO. 81 JIANGUO ROAD, CHAOYANG DISTRICT","BEIJING","","China","100025","N","86-10-59695680","86-10-59695681"
"884483","SUITE 811, IK PLAZA","300-6 YOMGOK-DONG, SEOCHO-GU","SEOUL","","Korea, South","137170","N","82-2-34971880","82-2-34971660"
"884483","ROOM 2361, 23/F, 5 CORPORATE AVENUE","150 HUBIN ROAD,","SHANGHAI","","China","200021","N","86-21-80135016",""
"878003","UNIT 802A, OFFICE TOWER 1, CHINA CENTRAL PLACE","NO. 81 JIANGUO ROAD, CHAOYANG DISTRICT","BEIJING","","China","100025","N","86-10-59695680","86-10-59695681"
"893834","1503, LEVEL 15, INTERNATIONAL COMMERCE CENTRE","1 AUSTIN ROAD WEST, KOWLOON","HONG KONG","","China","","N","(852) 35188000","(852) 28107083"
"881969","BLEICHSTRASSE 64-66","","FRANKFURT AM MAIN","","Germany","DE 60313","N","49-147997-6545",""
"899589","11000 CEDAR AVENUE","SUITE 100","CLEVELAND","OH","United States","44106-3052","N","216-658-3982","216-658-3998"
"894871","5542 FIRST COAST HIGHWAY","HARRISON PARK   SUITE 301","FERNANDINA BEACH","FL","United States","32034-5088","N","904-261-9690","904-261-9668"
"890307","ATAGO GREEN HILLS MORI TOWER, 18TH FLOOR","2-5-1 ATAGO, MINATO-KU","TOKYO","","Japan","105-6218","N","03-5425-8900",""
"887855","2765 SAND HILL ROAD","","MENLO PARK","CA","United States","94025","N","650-854-8092","650-854-8127"
"887855","95 FIFTH AVENUE","5TH FLOOR","NEW YORK","NY","United States","10003","N","646-374-4949",""
"887855","508, TIME TOWER, MEHRAULI GURGAON ROAD","SECTOR 28","GURGUAON","","India","122001","N","91124 430 1841","91124 430 1850"
"887855","IFS COURT, TWENTYEIGHT","CYBERCITY","EBENE","","Mauritius","","N","2304673000",""
"887855","11 HAMENOFIM STREET, ACKERSTEIN TOWERS","BUILDING B, FLOOR #10, P.O. BOX 2148","HERZLIYA PITUACH","","Israel","46120","N","9729 972 6858","9729 972 6859"
"894695","1 ADAM STREET","","LONDON","","United Kingdom","WC2 6AB","N","00442079682750",""
"895976","UNIT 27","1273 HIAIHAI MIDDLE ROAD","SHANGHAI","","China","200031","N","862133830688","86213383069"
"895976","UNIT 2705, TOWER C OFFICE BUILDING, YINTAI CENTRE","NO. 2 JIANGUOMENWAI AVENUE","CHAOYANG DISTRICT, BEIJING","","China","100022","N","861085171799","861085171215"
"895976","NO. 6, LANE 1350","MIDDLE FUXING ROAD","SHANGHAI","","China","200031","N","862160252100","862160252100"
"876474","539 BRYANT STREET","SUITE #306","SAN FRANCISCO","CA","United States","94107","N","415-780-9900",""
"883649","2884 SAND HILL ROAD","SUITE 121","MENLO PARK","CA","United States","94025","N","6503883676","3503886375"
"898403","COMMERCE TOWER, SUITE 2424","911 MAIN STREET","KANSAS CITY","MO","United States","64105","N","8168073817",""
"895718","P.O. BOX 464","","PHILOMONT","VA","United States","20131","Y","540-338-3595","612-376-2999"
"896401","4514 COLE AVE","SUITE 1225","DALLAS","TX","United States","75205","N","972-510-5705",""
"889583","UGLAND HOUSE","SOUTH CHURCH STREET","GRAND CAYMAN","","Cayman Islands","KY1-1104","N","345-949-8066","345-949-8080"
"897745","2884 SANDHILL ROAD, STE 121","","MENLO PARK","CA","United States","94025","N","6503883676","6503883675"
"897745","4430 ARAPAHOE AVENUE","SUITE 220","BOULDER","CO","United States","80303","N","3034171601","3034171602"
"887580","54 W. 21ST STREET","SUITE 404","NEW YORK","NY","United States","10010","N","212-418-5100",""
"895167","700 WHITE PLAINS ROAD","SUITE 238","SCARSDALE","NY","United States","10583","N","212 974 3040",""
"886507","551 FIFTH AVENUE, 37TH FLOOR","","NEW YORK","NY","United States","10176","N","(212) 557-0875","(212) 557-0876"
"884353","50 CALIFORNIA ST, STE 2580","","SAN FRANCISCO","CA","United States","94111","N","415-397-6200","415-397-6280"
"884353","806 A TOWER, PACIFIC CENTURY PLACE","2A GONGTI BEI LU, CHAOYANG DISTRICT","BEIJING","","China","100027","N","8610-6539-1366","8610-6539-1367"
"894615","11622 EL CAMINO REAL","SUITE 100","SAN DIEGO","CA","United States","92130","N","000-00-0000",""
"895850","900 NORTH MICHIGAN AVENUE","SUITE 1100","CHICAGO","IL","United States","60611-1514","N","312-506-6460","312-506-6472"
"858205","UNIT 1, LEVEL 10, TOWER W2 ,NO.1 EAST CHANG AN AVE","","BEIJING","","China","","N","10-8515 1180","10-8515 1179"
"858205","1-1-7 UCHISAIWAICHO, CHIYODA-KU","","TOKYO","","Japan","100-0011","N","3- 3580 1451","3- 3580 5840"
"858205","CITIGROUP TOWER, 33 HUAYUANSHIQIAO ROAD","","SHANGHAI","","China","","N","21-12345678",""
"898558","71-02 80TH STREET","","GLENDALE","NY","United States","11385","N","718-383-7000",""
"899049","505 MONTGOMERY STREET","11TH FLOOR","SAN FRANCISCO","CA","United States","94111","N","415-994-4547",""
"893571","410 PARK AVENUE","15TH FLOOR","NEW YORK","NY","United States","10022","N","646-660-3994",""
