"FilingID","Name","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Phone","Fax","Type","Description"
1035021,"STATE STREET BANK AND TRUST COMPANY","2 AVENUE DE LAFAYETTE","","BOSTON","MA","United States","02111","N","617-664-9566","","Other","PRIVATE FUNDS"
1035021,"RECALL LIMITED","20 WINSLOW STREET, HUNG HOM","","HONG KONG","","Hong kong","","N","25112829","25114333","A third-party unaffiliated record keeper","CLIENTS CDD DOCUMENTS"
1035021,"RBC INVESTOR SERVICES HONG KONG LIMITED","51F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG","","HONG KONG","","Hong kong","","N","852-28681309","","Other","THIS IS A THIRD - PARTY ADMINISTRATOR WHICH KEEPS ALLL INVESTORS DOCUMENTS EXCEPT THE CLIENT AGREEMENTS."
1035021,"CONSEC SERVICES LIMITED","ROOM 409, 4/F NAN FUNG TOWER","88 CONNAUGHT ROAD CENTRAL","HONG KONG","","Hong kong","","N","852 2738 1411","852 2730 4379","Other","THE MINUTE BOOKS OF AIFML ARE KEPT AT THE ABOVE ADDRESS"
1035549,"ABERDEEN ASSET MANAGEMENT PLC","10 QUEENS TERRACE","","ABERDEEN","","United Kingdom","AB10 1YG","N","441224631999","","One of your branch offices or affiliates","PARENT COMPANY AND MAY MAINTAIN SOME BOOKS AND RECORDS FOR THE REGISTRANT"
1035549,"ABERDEEN ASSET MANAGEMENT PLC","BOW BELLS HOUSE","1 BREAD STREET","LONDON","","United Kingdom","EC4M 9HH","N","442074636000","","One of your branch offices or affiliates","PARENT COMPANY AND MAY MAINTAIN SOME BOOKS AND RECORDS FOR THE REGISTRANT"
1035549,"IRON MOUNTAIN","2500 HENDERSON DRIVE","","SHARON HILL","PA","United States","19079","N","215-633-0525","","A third-party unaffiliated record keeper","PRIMARY ARCHIVING SERVICE FOR THE REGISTRANT"
1035549,"STATE STREET BANK AND TRUST COMPANY","2 AVENUE DE LAFAYETTE","","BOSTON","MA","United States","02111","N","617-664-9566","","Other","PRIVATE FUNDS"
1035549,"RECALL LIMITED","20 WINSLOW STREET, HUNG HOM","","HONG KONG","","Hong kong","","N","25112829","25114333","A third-party unaffiliated record keeper","CLIENTS CDD DOCUMENTS"
1035549,"RBC INVESTOR SERVICES HONG KONG LIMITED","51F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG","","HONG KONG","","Hong kong","","N","852-28681309","","Other","THIS IS A THIRD - PARTY ADMINISTRATOR WHICH KEEPS ALLL INVESTORS DOCUMENTS EXCEPT THE CLIENT AGREEMENTS."
1035549,"CONSEC SERVICES LIMITED","ROOM 409, 4/F NAN FUNG TOWER","88 CONNAUGHT ROAD CENTRAL","HONG KONG","","Hong kong","","N","852 2738 1411","852 2730 4379","Other","THE MINUTE BOOKS OF AIFML ARE KEPT AT THE ABOVE ADDRESS"
1033170,"LAB SERVICES PSF S.A.","LAB DATA CENTRE","ZONE INDUSTRIELLE","MUNSBACH","","Luxembourg","L-5366","N","+352 350 222 1","+352350222350","A third-party unaffiliated record keeper","A PORTION OF THE ORIGINAL BOOKS AND RECORDS ARE MAINTAINED BY LAB SERVICES PSF S.A."
1028097,"IDALION CAPITAL (UK) LLP","12 HAY HILL","","LONDON","","United Kingdom","W1J 8NR","N","+442070168948","","One of your branch offices or affiliates","ORGANIZATIONAL AND OPERATIONAL RECORDS."
1028097,"GLOBEOP FINANCIAL SERVICES (CAYMAN) LIMITED","45 MARKET STREET","SUITE 3205","CAMANA BAY","","Cayman Islands","KY1-9003","N","+1 345 943 333","+1 345 946 765","A third-party unaffiliated record keeper","BOOKS AND RECORDS OF THE FUNDS."
1033170,"FRANKLIN RESOURCES, INC.","ONE FRANKLIN PARKWAY","","SAN MATEO","CA","United States","94403","N","650-525-7510","650-525-7570","One of your branch offices or affiliates","SEE ""MISCELLANEOUS SECTION""."
1033170,"FRANKLIN TEMPLETON SERVICES, LLC","140 FOUNTAIN PARKWAY","","ST. PETERSBURG","FL","United States","33716","N","954-527-7500","954-527-7329","One of your branch offices or affiliates","A PORTION OF THE ORIGINAL BOOKS AND RECORDS ARE MAINTAINED BY FRANKLIN TEMPLETON SERVICES, LLC."
1036368,"CORNERSTONE INVESTMENT MANAGEMENT, INC","3155 W. BIG BEAVER ROAD","SUITE 207","TROY","MI","United States","48084","N","248-649-4549","","A third-party unaffiliated record keeper","RECORDS PERTAINING TO FUND AND ADVISORY BUSINESS OPERATIONS."
1029196,"SS&C FUND SERVICES","675 THIRD AVENUE","17TH FLOOR","NEW YORK","NY","United States","10017","N","212-319-9730","","A third-party unaffiliated record keeper","IN ITS CAPACITY AS A THIRD PARTY ADMINISTRATOR OF THE PRIVATE FUNDS MANAGED BY MELKONIAN CAPITAL MANAGEMENT, LLC, SS&C FUND SERVICES MAINTAINS CERTAIN BOOKS AND RECORDS RELATED TO THE PRIVATE FUNDS AT THIS LOCATION."
1031200,"SMT TRUSTEES (IRELAND) LIMITED","HARCOURT CENTRE, HARCOURT ROAD","BLOCK 5","DUBLIN 2","","Ireland","","N","+353016039921","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS RELATED TO INVESTMENTS OF THE ADVISORY CLIENTS"
1031200,"GLOBEOP FINANCIAL SERVICES (IRELAND) LIMITED","LA TOUCHE HOUSE, CUSTOM HOUSE DOCK","IFSC","DUBLIN 1","","Ireland","","N","+353 1 514 960","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS RELATED TO INVESTMENTS OF THE ADVISORY CLIENTS"
1031200,"SUMITOMO MITSUI TRUST (UK) LIMITED","155 BISHOPSGATE","1ST FLOOR","LONDON","","United Kingdom","EC2M 3XU","N","+4420 75628400","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS RELATED TO INVESTMENTS OF THE ADVISORY CLIENTS"
1023548,"IRON MOUNTAIN UK","CODY 1 & 2","UNIT 2A CODY ROAD","LONDON","","United Kingdom","E16 4TG","N","44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY","1295 MAIN STREET","","SPRINGFIELD","MA","United States","01111","N","413-788-8411","413-744-6338","One of your branch offices or affiliates","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS IN RELATION TO ACTIVITIES CARRIED OUT BY THE FIRM, INCLUDING THOSE RELATING TO THE FIRM'S INVESTMENT ADVISORY BUSINESS."
1023548,"IRON MOUNTAIN UK","24-26 GILLENDER STREET","","LONDON","","United Kingdom","E3 3LB","N","44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"IRON MOUNTAIN UK","NORMAN ROAD","","KENT","","United Kingdom","DA17 6JY","N","44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"IRON MOUNTAIN UK","CODY 3 & 4, UNIT 8 SOUTH CRESCENT","CODY ROAD","LONDON","","United Kingdom","E16 4SR","N","44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"BABSON CAPITAL MANAGEMENT LLC","1500 MAIN STREET","P.O. BOX 15189","SPRINGFIELD","MA","United States","01115-5189","N","413-226-1000","713-226-2688","One of your branch offices or affiliates","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS IN RELATION TO ACTIVITIES CARRIED OUT BY THE FIRM, INCLUDING THOSE RELATING TO THE FIRM'S INVESTMENT ADVISORY BUSINESS."
1023548,"IRON MOUNTAIN UK","GATE 1 DOCKLANDS DATA CENTRE","LEVEN ROAD POPLAR","LONDON","","United Kingdom","E14 0LL","N","44800270270","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"IRON MOUNTAIN","175 BEARFOOT ROAD","","NORTHBOROUGH","MA","United States","01532","N","888-800-1552","","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS REQUIRED BY SECTION 204 OF THE INVESTMENT ADVISERS ACT OF 1940 AND RELEVANT UK FINANCIAL CONDUCT AUTHORITY (FCA) RECORD KEEPING REQUIREMENTS ARE ARCHIVED AT IRON MOUNTAIN."
1023548,"INFOSHRED LLC","3 CRAFTSMAN ROAD","","EAST WINDSOR","CT","United States","06088","N","978-671-6400","","A third-party unaffiliated record keeper","THIS LOCATION IS USED TO STORE CERTAIN BOOKS AND RECORDS. IT IS ALSO USED AS AN OFF-SITE DEPOSITARY FOR ELECTRONIC BACK-UPS OF COMPANY DATA FOR DISASTER RECOVERY PURPOSES."
1030048,"DAVID WARD'S OFFICE","1971 REILY WOODS LANE","","OXFORD","OH","United States","45056","Y","615-665-1409","615-665-2912","One of your branch offices or affiliates","FUND ORGANIZATION DOCUMENTS."
1026664,"SB CHINA & INDIA HOLDINGS LIMITED","RM 806 EAST TOWN BUILDING","41 LOCKHART ROAD","WANCHAI","","Hong kong","","N","852-3141-4183","","One of your branch offices or affiliates","BOOKS AND RECORDS OF SB CHINA & INDIA HOLDINGS LIMITED"
1027549,"BNY MELLON FUND SERVICES (IRELAND) LIMITED","GUILD HOUSE","GUILD STREET, IFSC","DUBLIN","","Ireland","DUBLIN 1","N","+3531 5427920","","A third-party unaffiliated record keeper","THIRD PARTY ADMINISTRATOR. THE ABOVE NAMED THIRD-PARTY ADMINISTRATOR IS THE PRIMARY BOOKS OF RECORD AND INCLUDES RECORDS IN RELATION TO ANTI-MONEY LAUNDERING IDENTIFICATION VERIFICATION DOCUMENTS"
1015857,"KAUFMAN ROSSIN FUND SERVICES, LLC","2811 MCKINNEY AVE.","SUITE 301","DALLAS","TX","United States","75204","N","972-338-2791","","A third-party unaffiliated record keeper","ACCOUNTING BOOKS AND RECORDS."
1033015,"OPUS FUND SERVICES","1812 HIGH GROVE LANE","SUITE 101","NAPERVILLE","IL","United States","60540","N","(312) 256-9974","","Other","CERTAIN BOOKS AND RECORDS RELATED TO PRIVATE FUNDS."
1035501,"BROADSCOPE FUND ADMINISTRATORS","95 N. STATE ROUTE 17","SUITE 304","PARAMUS","NJ","United States","07652","N","201-397-1662","","A third-party unaffiliated record keeper","GENERAL LEDGER FOR PRIVATE INVESTMENT VEHICLES"
1034619,"HEDGEASSIST, LLC","18029 CALLE AMBIENTE","SUITE 519","RANCHO SANTA FE","CA","United States","92067","N","760.804.7697","760.929.9637","A third-party unaffiliated record keeper","INVESTOR RELATED AND FINANCIAL RECORDS. HEDGEASSIST, LLC SERVES AS SUB-ADMINISTRATOR TO STONEPINE CAPITAL, LP."
1034619,"YULISH & ASSOCIATES","411 LOS SANTOS DRIVE","","BODEGA BAY","CA","United States","94923","N","415.641.4246","","A third-party unaffiliated record keeper","FINANCIAL RECORDS. YULISH & ASSOCIATES SERVES AS FUND ACCOUNTANT TO STONEPINE CAPITAL, LP."
1034619,"STONEPINE CAPITAL MANAGEMENT, LLC","475 GATE FIVE ROAD","SUITE 324","SAUSALITO","CA","United States","94965","N","415-331-7100","","One of your branch offices or affiliates","BROKERAGE STATEMENTS AND SIMILAR DOCUMENTS."
1028597,"GLOBEOP FINANCIAL SERVICES LLC","ONE SOUTH ROAD","","HARRISON","NY","United States","10528","N","914 670 3740","","A third-party unaffiliated record keeper","TRADING ACTIVITY FOR FUNDS MANAGED"
1029926,"ROSALYN EGELAND","15 TEBOURBA DRIVE","","GOSPORT","","United Kingdom","PO12 2NT","Y","44 2392 584483","","A third-party unaffiliated record keeper","BANK RECORDS, ACCOUNTS"
1014638,"GRANT THORNTON FUND ADMINISTRATION LIMITED","3 BEDLAM COURT","SUITE 3, 2ND FLOOR, MONTARIK HOUSE","GIBRALTAR","","Gibraltar","","N","TBC","","A third-party unaffiliated record keeper","GRANT THORNTON FUND ADMINISTRATION LIMITED IS THE INDEPENDENT FUND ADMINISTRATOR TO THE PRIVATE FUNDS ADVISED BY SEALARK LLP AND MAINTAINS CERTAIN OF THE PRIVATE FUNDS' ACCOUNTING BOOKS AND RECORDS."
1032122,"CORDIUM","NORFOLK HOUSE","31 ST JAMES'S SQUARE","LONDON","","United Kingdom","SW1Y 4JJ","N","44 20 7408 244","","A third-party unaffiliated record keeper","FINANCIAL RECORDS, INVESTOR RECORDS"
1030467,"STATE STREET ADMINISTRATION SERVICES (UK) LTD","20 CHURCHILL PLACE","CANARY WHARF","LONDON","","United Kingdom","E14 5HJ","N","442033958000","","A third-party unaffiliated record keeper","ACCOUNTING RECORDS REGARDING PRIVATE FUNDS."
1030467,"AZTEC FINANCIAL SERVICES (GUERNSEY) LIMITED","EAST WING, TRAFALGAR COURT","LES BANQUES","ST PETER PORT","","Guernsey","GY1 3PP","N","441481749700","","A third-party unaffiliated record keeper","ACCOUNTING RECORDS REGARDING PRIVATE FUNDS."
1030467,"AZTEC FINANCIAL SERVICES (UK) LTD","FORUM 3","SOLENT BUSINESS PARK","WHITELEY","","United Kingdom","PO15 7FH","N","448455055660","","A third-party unaffiliated record keeper","ACCOUNTING RECORDS REGARDING PRIVATE FUNDS."
1030467,"SANNE GROUP (GUERNSEY) LIMITED","3RD FLOOR, LA PLAIDERIE CHAMBERS","LA PLAIDERIE","ST PETER PORT","","Guernsey","GY1 1WG","N","44 1481 739800","","A third-party unaffiliated record keeper","ACCOUNTING RECORDS REGARDING PRIVATE FUNDS"
1028082,"STRAIT CAPITAL COMPANY LTD.","8201 PRESTON RD #460","","DALLAS","TX","United States","75225","N","214-891-1610","","A third-party unaffiliated record keeper","THIS IS THE PRIVATE FUND'S THIRD-PARTY ADMINISTRATOR WHICH MAINTAINS CERTAIN BOOKS AND RECORDS FOR THE FUND."
1028878,"TRIDENT FUND SERVICES, INC","3060 PEACHTREE ROAD, NW","SUITE 1415","ATLANTA","GA","United States","30305","N","4043642019","4043642019","A third-party unaffiliated record keeper","BALANCE SHEET, STATEMENTS OF OPERATIONS"
1028647,"EASYNET","ST JAMES HOUSE","OLDBURY","BRACKNELL","","United Kingdom","RG12 8TH","N","44 01344543700","","A third-party unaffiliated record keeper","ELECTRONIC DATA RECOVERY CENTRE"
1032386,"L CAPITAL (SHANGHAI) CONSULTANCY CO., LTD","SUITE 4101, TOWER 2, PLAZA 66","1266 NANJING ROAD WEST","SHANGHAI","","China","200040","N","+862160321688","+862161135705","One of your branch offices or affiliates","BOOKS AND RECORDS PERTAINING TO CHINA OPERATIONS."
1032386,"L CAPITAL MUMBAI ADVISORY SERVICES PRIVATE LIMITED","203-204, SECOND FLOOR TOWER WING,","TAJ MAHAL PALACE & TOWER APOLLO BUNDER","MUMBAI","","India","400001","N","+912216153200","","One of your branch offices or affiliates","BOOKS AND RECORDS PERTAINING TO INDIA OPERATIONS."
1032386,"L CAPITAL SINGAPORE PTE LTD","1 KIM SENG PROMENADE #18-07/12","GREAT WORLD CITY WEST TOWER","SINGAPORE","","Singapore","237994","N","+65 6672 7600","+65 6672 7601","One of your branch offices or affiliates","BOOKS AND RECORDS PERTAINING TO SINGAPORE OPERATIONS."
1032386,"L CAPITAL (HK) LIMITED","SUITE 2704, 27TH FLOOR, OXFORD HOUSE, TAIKOO PLACE","979 KING'S ROAD","HONG KONG","","Hong kong","","N","+852 2106 3966","+852 2523 7355","One of your branch offices or affiliates","BOOKS AND RECORDS PERTAINING TO HONG KONG OPERATIONS."
1028647,"PERELLA WEINBERG PARTNERS GROUP LP","767 FIFTH AVENUE","","NEW YORK CITY","NY","United States","10153","N","212 287 3200","","One of your branch offices or affiliates","FUND KYC/AML RECORDS"
1028647,"MDNX","INBUCON HOUSE","EGHAM","SURREY","","United Kingdom","TW20 0HR","N","44 01920484200","","A third-party unaffiliated record keeper","ELECTRONIC DATA RECOVER CENTER"
1028647,"PWREF I HOLDING SARL","22, GRAND RUE","","LUXEMBOURG","","Luxembourg","L-1660","N","+352 262 029 8","","One of your branch offices or affiliates","BACK-OFFICE FUNCTION. FINANCIAL AND ACCOUNTING BOOKS AND RECORDS."
1030243,"SOMERS CAPITAL ADVISERS, LLC","5410 MARDEN DRIVE","","DAVIS","CA","United States","95618","Y","530-759-9918","530-759-9918","One of your branch offices or affiliates","COPIES OF CLIENTS' BOOKS AND RECORDS ARE KEPT AT THIS LOCATION."
1030243,"MITSUBISHI UFJ FUND SERVICES LIMITED","BELVEDERE BUILDING","69 PITTS BAY ROAD","PEMBROKE","","Bermuda","HM 08","N","441-299-3882","441-292-8200","A third-party unaffiliated record keeper","ORIGINALS OF CLIENTS' BOOKS AND RECORDS ARE KEPT AT THE OFFICES OF MITSUBISHI UFJ FUND SERVICES LIMITED, WHICH SERVES AS A LICENSED ADMINISTRATOR, REGISTRAR, TRANSFER AGENT, AND SECRETARY OF THE CLIENTS."
1030243,"SOMERS INVESTOR SERVICES LTD.","6 DUNDONALD STREET","","HAMILTON","","Bermuda","HM 10","N","441-295-1253","441-295-0119","A third-party unaffiliated record keeper","COPIES OF CLIENTS' BOOKS AND RECORDS ARE KEPT AT THE OFFICES OF SOMERS INVESTOR SERVICES LTD., WHICH SERVES AS THE CLIENTS' MANAGER."
1029909,"ATHENIAN VENTURE PARTNERS","2400 E. COMMERCIAL BOULEVARD","","FT LAUDERDALE","FL","United States","33308","N","614-360-2001","","One of your branch offices or affiliates","COPIES OF TAX RETURNS, FINANCIAL STATEMENTS AND BANK STATEMENTS"
1030166,"MORGAN STANLEY FUND SERVICES (BERMUDA) LTD.","2 CHURCH STREET","","HAMILTON","","Bermuda","","N","914-225-8885","","Other","THE ADMINISTRATOR WILL MAINTAIN RECORDS SUCH AS SUBSCRIPTION DOCUMENTS AND NAV CALCULATIONS."
1031254,"BARING NORTH AMERICA LLC","INDEPENDENCE WHARF","470 ATLANTIC AVENUE","BOSTON","MA","United States","02210","N","617-946-5200","","One of your branch offices or affiliates","BARING NORTH AMERICA LLC MAINTAINS CERTAIN BOOKS AND RECORDS RELATING TO A FEW CLIENTS OF BARING ASSET MANAGEMENT LIMITED."
1031254,"RESTORE PLC","8 BEAM REACH","COLDHARBOUR LANE","RAINHAM ESSEX","","United Kingdom","RM13 9YB","N","01708 527 600","01708 527651","A third-party unaffiliated record keeper","RESTORE PLC IS USED TO RETAIN CERTAIN BOOKS AND RECORDS THAT ARE NO LONGER REQUIRED TO BE KEPT ON-SITE.  SUCH BOOKS AND RECORDS ARE ARCHIVED AT RESTORE PLC."
1031254,"INSTITUTIONAL SHAREHOLDER SERVICES","702 KING FARM BOULEVARD","SUITE 400","ROCKVILLE","MD","United States","20850-4045","N","405.366.5101","405.366.5050","A third-party unaffiliated record keeper","CERTAIN BOOKS AND RECORDS RELATING TO APPLICANT'S PROXY VOTING ACTIVITIES ARE MAINTAINED BY INSTITUTIONAL SHAREHOLDER SERVICES"
1031254,"BARING ASSET MANAGEMENT (ASIA) LIMITED","19/F EDINBURGH TOWER, 15 QUEEN'S ROAD","THE LANDMARK","HONG KONG","","China","","N","852-2841-1411","852-2845-9050","One of your branch offices or affiliates","BARING ASSET MANAGEMENT (ASIA) LIMITED MAINTAINS CERTAIN BOOKS AND RECORDS RELATING TO CERTAIN TRADE ACTIVITY UNDERTAKEN."
1032714,"MUFG FUND SERVICES (IRELAND) LIMITED","ORMONDE HOUSE","12/13 LOWER LEESON STREET","DUBLIN 2","","Ireland","","N","+353 1 647 050","","A third-party unaffiliated record keeper","THIS IS THE ADDRESS OF THE FUND ADMINISTRATOR THAT WILL HOLD BOOKS AND RECORDS RELATING TO THE ADMINISTRATION OF THE FUND"
1032319,"JP MORGAN HEDGE FUND SERVICES","ONE BEACON STREET","","BOSTON","MA","United States","02108","N","617-557-8000","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED CUSTOMARILY KEPT BY ADMINISTRATOR"
1032319,"JP MORGAN CLEARING CORP","3 CHASE METROTECH CENTER","","BROOKLYN","NY","United States","11245","N","347-643-1000","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED PRIME BROKER/CUSTODIAN"
1032319,"JP MORGAN CHASE NA","270 PARK AVENUE","","NEW YORK","NY","United States","10017","N","2122706000","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED CUSTODIAN"
1032319,"NEOVEST","383 MADISON AVENUE","4TH FLOOR","NEW YORK","NY","United States","10017","N","800-433-4276","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED TRADING TECHNOLOGY BROKER SERVICES COMPANY"
1032319,"BTIG","825 THIRD AVENUE","6TH FLOOR","NEW YORK","NY","United States","10022","N","212 593 7555","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED OUTSOURCED TRADING PARTNER"
1032319,"JEFFERIES LLC","520 MADISON AVENUE","","NEW YORK","NY","United States","10022","N","212-284-2300","","Other","BOOKS AND RECORDS CUSTOMARILY KEPT BY A THIRD-PARTY UNAFFILATED PRIME BROKER/CUSTODIAN."
1032649,"M & C SERVICES PRIVATE LIMITED","138 ROBINSON ROAD #17-00","","SINGAPORE","","Singapore","068906","N","+65 6228 0543","","A third-party unaffiliated record keeper","MINUTES, CORPORATE REGISTERS"
1032649,"CHAMP PRIVATE EQUITY PTE LTD","50 RAFFLES PLACE","#35-36/07 SINGAPORE LAND TOWER","SINGAPORE","","Singapore","048623","N","+656576 9197","","One of your branch offices or affiliates","VARIOUS ADMIN DOCUMENTS"
1029961,"STATE STREET FUND SERVICES (IRELAND) LIMITED,","78 SIR JOHN ROGERSON'S QUAY","","DUBLIN 2","","Ireland","","N","+353 1 776 800","","A third-party unaffiliated record keeper","FINANCIAL ACCOUNTING RECORDS AND DATA, AND OTHER INFORMATION ANCILLARY TO ITS ROLE AS FUND ADMINISTRATOR TO CERTAIN FUNDS MANAGED BY THE FIRM."
