"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
"966549","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966952","EAGLEVIEW SECURITIES, INC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"966952","PENN COMMUNITY BANK","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
"965250","PIPER JAFFRAY & CO.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"965276","REGISTER FINANCIAL ASSOCIATES","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"964932","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"965448","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"964920","TRIUNE INSURANCE PARTNERS, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966107","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"965099","RATHBONE GREENBANK INVESTMENTS","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT ADVISER"
"966244","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967555","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967578","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967656","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967893","GC SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT BANKING AND CAPITAL MARKETS SERVICES, CORPORATE FINANCE, M AND A, RISK TRANSFER."
"967893","MERCER CONSUMER","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","ENGAGES IN MARKETING AND ADMINISTRATIVE SERVICES TO EMPLOYERS THAT MAINTAIN DEFERRED COMPENSATION PROGRAMS FOR THEIR EMPLOYEES."
"967893","MERCER SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","ENGAGES IN THE SERVICING OF DEFINED CONTRIBUTIONS PLANS AND OFFERING PROPRIETARY OPEN-END MUTUAL FUNDS."
"967893","MARSH & MCLENNAN SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","FINANCIAL RISK SOLUTIONS THROUGH STRUCTURED TRANSACTIONS INVOLVING INSTITUTIONAL RISK TRANSFERS AND PROJECT FINANCE"
"967641","INTERNATIONAL EQUITY SERVICES INC","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"967896","INVESTMENT PROFESSIONALS INC (JAY BREW LLC COMPANY)","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"967938","PATRICK J. REIDY, ESQ.","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
"966785","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968337","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966904","WINSLOW, EVANS & CROCKER INSURANCE AGENCY, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968623","B.I. FINANCIAL AND INSURANCE SERVICES, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968623","BI FINANCIAL SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968623","BROKERS INTERNATIONAL FINANCIAL AND INSURANCE SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968653","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968752","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968752","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968762","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968762","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968799","TOMCO INSURANCE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966542","SELECTIVE ADVISORS","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"968946","SELECTIVE ADVISORS","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"969051","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"969051","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"961728","NATIONAL PLANNING CORPORATION (""NPC OF AMERICA"" IN FL AND NY)","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"969246","CAPITAL MANAGEMENT SECURITIES, INC. - BROKER DEALER","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968598","RELIANCE INSURANCE AGENCY, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968804","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"969783","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"970106","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"969332","FINANCIAL PLANNING INVESTMENTS INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"970206","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"970385","ADVOCACY, INC.","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",""
"970410","MODERN WOODMEN GENERAL AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"970858","HORSHAM GYM ONE LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FRANCHISE BUSINESS"
"970858","HILLCREST AVENUE LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","FRANCHISE BUSINESS"
"970858","LEDGERITY LLC.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","BOOKKEEPING SERVICES"
"970993","AVANT-GARDE WEALTH MANAGEMENT INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963361","SAGEPOINT FINANCIAL, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"971786","EMPIRICAL INSURANCE, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"971786","EMPIRICAL TAX SERVICES, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"971786","PYRAMID SAN JUAN ISLANDS, PLLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"971948","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"971838","BRITE MANAGEMENT LLC","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"972129","CARROLL CONSULTANTS, LTD.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"971833","GENESIS FINANCIAL, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"971833","JOSHUA FINANCIAL, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"970684","CENTENNIAL SECURITIES COMPANY INC","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"972156","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"972467","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"972295","GUILFORD SAVINGS BANK","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
"973057","SEAN CURLEY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968811","GC SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT BANKING AND CAPITAL MARKETS SERVICES"
"968811","MERCER CONSUMER","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968811","MERCER SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"968811","MARSH & MCLENNAN SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","STRUCTURED FINANCIAL RISK SOLUTIONS"
"973260","SAGENT INSURANCE SERVICES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"973260","SAGENT REAL ESTATE SERVICES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"969533","TAF ASSOCIATES, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"969533","INTEGER FINANCIAL SERVICES, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"974241","ZIONS TRUST, NATIONAL ASSOCIATION","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",""
"974746","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"973037","BRAND RISK MANAGEMENT LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"975364","MINSHALL & COMPANY, INC.","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"973941","HARRISON BERKMAN CLAYPOOL & GUARD, PLLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"963094","THE HAAS AGENCY, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"974760","BRYAN FUNDING, INC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"967022","BRIAN J. LOCKETT IS A REGISTERED REPRESENTATIVES OF INDEPENDENT FINANCIAL GROUP, LLC. AND LICENSED INSURANCE AGENT","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"976384","CAPWEALTH INVESTMENT SERVICES, LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"977421","WINSLOW, EVANS & CROCKER INSURANCE AGENCY, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"977502","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"977614","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"972439","COUNSEL TRUST COMPANY","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",""
"976408","SALT ROCK CAPITAL PARTNERS (CAYMAN) LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"978957","RVW INSURANCE SOLUTIONS, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"979356","MODERN WOODMEN GENERAL AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"979508","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"964099","KOLINSKY FINANCIAL GROUP, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"979581","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL CREDIT OPPORTUNITY FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL CREDIT OPPORTUNITY INTERMEDIATE FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL CREDIT OPPORTUNITY MASTER FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR TRADING CAYMAN LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VZBFI CLASS B LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VZBFI LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL CREDIT OPPORTUNITY OFFSHORE FUND LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL IV LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"975625","VECTOR CAPITAL III LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980090","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL CREDIT OPPORTUNITY FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL CREDIT OPPORTUNITY INTERMEDIATE FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL CREDIT OPPORTUNITY MASTER FUND LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR TRADING CAYMAN LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VZBFI CLASS B LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VZBFI LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL CREDIT OPPORTUNITY OFFSHORE FUND LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL IV LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980164","VECTOR CAPITAL III LP","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"980378","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"973264","GREENFIELD MINING CAPITAL","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","BILL CARA - PRESIDENT  GREENFIELD MINING CAPITAL INC, IS A PROFESSIONAL CONSULTING SERVICES FIRM INTENDED TO SERVE THE BOARDS OF"
"973158","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"974061","JP CONSULTING","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"973652","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966348","MARTIN W HARPER LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"974188","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"973835","PINNACLE FINANCIAL GROUP","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"974400","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"973935","GC SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT BANKING AND CAPITAL MARKETS SERVICES"
"973935","MERCER CONSUMER","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"973935","MERCER SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"973935","MARSH & MCLENNAN SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","STRUCTURED FINANCIAL RISK SOLUTIONS"
"974071","CALDWELL, TAYLOR AND BROWN, LTD.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"974395","ST GERMAIN SECURITIES INC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"974277","NOWLEN, HOLT & MINER, P.A.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"975011","VIRGINIA CAPITOL FINANCIAL, INC,","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"975083","MINSHALL & COMPANY, INC.","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"975510","BRIAN J. LOCKETT IS A REGISTERED REPRESENTATIVES OF INDEPENDENT FINANCIAL GROUP, LLC. AND LICENSED INSURANCE AGENT","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"975516","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"975774","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"975410","THE BERMAN VALUE FOLIO","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","THE REGISTRANT PUBLISHES AN INVESTMENT NEWSLETTER TITLED THE BERMAN VALUE FOLIO"
"975894","QBC, INC. DBA EKON BENEFTIS","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","RECORD-KEEPER AND THIRD PARTY ADMINISTRATOR"
"975698","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963639","AIFG CONSULTANTS, LTD.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963639","LPL FINANCIAL","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"975094","AFG PENSION ADMINISTRATION","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PENSION ADMINISTRATION SERVICES"
"976254","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"975381","CROSS POINT CAPITAL LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"968268","STERLING BAY REALTY, LLC","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"976953","STERLING BAY REALTY, LLC","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"976983","RANDALL J. CLOUD, CPA","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"977643","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"977674","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"971687","CHAPEL HILL INVESTMENT ANALYSTS INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"977863","BRYAN FUNDING, INC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"977899","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"977989","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"974379","DEMATEI & CO., INC., A FAMILY-OWNED REAL ESTATE BUSINESS","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"978460","ROCKWAY WEALTH PARTNERS","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"978460","FIVE TALENTS FINANCIAL MANAGEMETN GROUP","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"978460","DESLA WEALTH MANAGEMENT","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"978987","THE HAAS AGENCY, INC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"968488","FINANCIAL ADVISOR NETWORK, INC.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"979507","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"979582","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"976385","IUR CAPITAL LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT ADVISER"
"979647","MODERN WOODMEN GENERAL AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"979700","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963520","CANDACE SHIRA ASSOCIATES, LLC","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"953737","LPL FINANCIAL","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"980512","JEFFREY VIETH","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","LIFE & HEALTH INSURANCE"
"980534","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"980967","CAPE SECURITIES, INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"980967","CAPE INSURANCE SOLUTIONS, INC.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"980044","CETERA ADVISOR NETWORKS LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"970399","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"970399","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"979307","REGISTER FINANCIAL ASSOCIATES","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"981231","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"981231","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"980180","EXCEL SECURITIES & ASSOCIATES, INC","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"980047","THE COOK GROUP","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"981540","THE COOK GROUP","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"980381","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"976979","PROFESSIONAL BENEFITS PLANNING CORP.","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"976979","FFI ALTERNATIVES, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INTRODUCING BROKER"
"979297","ADVISORS CAPITAL PLANNING, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"975378","CANON CAPITAL CPA'S","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"975378","CANON CAPITAL RISK MANAGEMENT","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"981800","JAMES ROBSINSON","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"974889","WSPC INSURANCE SERVICES LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982154","CENTENNIAL SECURITIES COMPANY INC","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982012","EDWARD W. EAGAN","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N",""
"967631","COMPREHENSIVE ASSET MANAGEMENT AND SERVICING, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"976762","PURSHE KAPLAN SMITH","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"979429","CAPITAL INVESTMENT GROUP, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"983002","ADVISORY GROUP EQUITY SERVICES LTD","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"983002","ESTATE INSURANCE SERVICES LTD","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982931","BEACH POINT ADVISORS LLC","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"983069","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"982052","ELLIOTT COVE INSURANCE AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982102","PAUL LAMBERT, INC.","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"983299","PAUL LAMBERT, INC.","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"981612","AEGIS GENERAL AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"978990","IRWIN SCHAFFER, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"983623","ROBERT H. HODGE, CPA","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"978662","NORTHWEST FUNDING GROUP","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","MORTGAGE LOAN ORIGINATOR"
"978662","TRIAD ADVISORS","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"978662","Y.P. KANG, REALTOR","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"983741","EFS ADVISORS, LLC","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"983859","PAUL LAMBERT, INC.","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963563","COMPREHENSIVE ASSET MANAGEMENT AND SERVICING, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"982707","CALDWELL GROUP, LLC","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982837","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"982082","CANTER COMPANIES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"985034","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967422","RAYMOND JAMES FINANCIAL SERVICES, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"979973","CPS INSURANCE AGENCY, LLC","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"967448","GENEOS WEALTH MANAGEMENT, INC.","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"986721","COMPREHENSIVE ASSET MANAGEMENT AND SERVICING, INC.","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"985918","PATTON & ASSOCIATES, LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"986473","CRAIG BROOKS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"987036","MCGOWAN & CO LLC","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"987065","NA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","I MAINTAIN AN INSURANCE LICENSE BUT CANNOT SELL INSURANCE UNTIL I SIGN A CONTRACT WITH A SPECIFIC AGENCY"
"963628","TROXELL FINANCIAL ADVISORS","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"963628","LPL FINANCIAL","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"974661","CALDWELL, TAYLOR AND BROWN, LTD.","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
"970358","BOENNING & SCATTERGOOD","Y","N","N","N","N","Y","N","N","Y","N","N","N","N","N",""
"989118","WESTMINSTER FINANCIAL SECURITIES","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"989269","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
